,model_name,parameters,duration,tokencount,timing_run,eval_loss,eval_accuracy,eval_f1,eval_precision,eval_recall,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch,iden
0,roberta,124.64717,159.54618978500366,512,True,,,,,,,,,,roberta-512
1,longformer,148.660994,1605.8864741325378,4096,True,,,,,,,,,,longformer-4096
2,roberta,124.64717,441.65797424316406,256,False,1.494855284690857,0.7364341085271318,0.5142857142857143,0.9,0.36,1.2925,99.808,25.532,83.3,roberta-256
3,roberta,124.64717,570.5740404129028,1024,False,0.6007774472236633,0.8682170542635659,0.8045977011494254,0.9459459459459459,0.7,2.5752,50.093,12.814,13.15,roberta-1024
4,longformer,148.660994,189.1887810230255,256,True,,,,,,,,,,longformer-256
5,longformer,148.660994,655.6635110378265,256,False,2.0764505863189697,0.7131782945736435,0.5066666666666666,0.76,0.38,2.493,51.744,13.237,83.3,longformer-256
6,bigbird,128.06093,173.9280116558075,512,True,,,,,,,,,,bigbird-512
7,bigbird,128.06093,633.6531338691711,512,False,0.683400571346283,0.8372093023255814,0.7469879518072288,0.9393939393939394,0.62,2.8548,45.187,11.56,27.71,bigbird-512
8,roberta,124.64717,588.3161509037018,512,False,0.818421483039856,0.8294573643410853,0.7500000000000001,0.868421052631579,0.66,2.5582,50.425,12.899,27.71,roberta-512
9,bigbird,128.06093,925.5362288951874,2048,True,,,,,,,,,,bigbird-2048
10,longformer,148.660994,4088.299706220627,4096,False,0.7094486951828003,0.8527131782945736,0.7956989247311828,0.8604651162790697,0.74,23.0418,5.599,1.432,8.06,longformer-4096
11,roberta,124.64717,147.11524939537048,2048,True,,,,,,,,,,roberta-2048
12,roberta,124.64717,560.6952846050262,2048,False,0.5677857398986816,0.8527131782945736,0.7816091954022989,0.918918918918919,0.68,2.5953,49.704,12.715,8.92,roberta-2048
13,bigbird,128.06093,93.17387294769287,256,True,,,,,,,,,,bigbird-256
14,longformer,148.660994,2230.2720448970795,2048,False,0.43375924229621887,0.875968992248062,0.813953488372093,0.9722222222222222,0.7,12.3606,10.436,2.67,8.92,longformer-2048
15,longformer,148.660994,288.6053991317749,512,True,,,,,,,,,,longformer-512
16,bigbird,128.06093,1819.089412689209,4096,True,,,,,,,,,,bigbird-4096
17,longformer,148.660994,891.6606457233429,512,False,1.9860172271728516,0.7441860465116279,0.5822784810126583,0.7931034482758621,0.46,3.9728,32.471,8.306,27.71,longformer-512
18,longformer,148.660994,472.67791080474854,1024,True,,,,,,,,,,longformer-1024
19,roberta,124.64717,148.7627148628235,4096,True,,,,,,,,,,roberta-4096
20,longformer,148.660994,831.9912569522858,2048,True,,,,,,,,,,longformer-2048
21,bigbird,128.06093,488.14464569091797,1024,True,,,,,,,,,,bigbird-1024
22,bigbird,128.06093,1547.2585265636444,1024,False,0.5060373544692993,0.8527131782945736,0.7764705882352942,0.9428571428571428,0.66,8.0108,16.103,4.119,13.15,bigbird-1024
23,bigbird,128.06093,449.9077332019806,256,False,1.121045708656311,0.7364341085271318,0.5853658536585366,0.75,0.48,1.4328,90.036,23.032,83.3,bigbird-256
24,bigbird,128.06093,2830.359838485718,2048,False,0.46542221307754517,0.9069767441860465,0.8666666666666667,0.975,0.78,15.7516,8.19,2.095,8.92,bigbird-2048
25,roberta,124.64717,151.99131441116333,1024,True,,,,,,,,,,roberta-1024
26,roberta,124.64717,85.20482468605042,256,True,,,,,,,,,,roberta-256
27,longformer,148.660994,1353.3194251060486,1024,False,1.1176090240478516,0.7829457364341085,0.6410256410256411,0.8928571428571429,0.5,6.7781,19.032,4.869,13.15,longformer-1024
28,roberta,124.64717,563.6959574222565,4096,False,0.5536820888519287,0.8527131782945736,0.7865168539325842,0.8974358974358975,0.7,2.558,50.43,12.901,8.06,roberta-4096
29,bigbird,128.06093,5416.983666181564,4096,False,0.3478398323059082,0.8914728682170543,0.8510638297872342,0.9090909090909091,0.8,29.4785,4.376,1.119,8.06,bigbird-4096
